"id","data_format","access","cases","file_name","submitter_id","data_category","type","file_size","platform","created_datetime","updated_datetime","md5sum","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"d0a56ab2-7e09-42e8-a1f9-4745dfe4b186","TXT","open","TCGA-A2-A1G6-01A-11D-A13K-05","jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-A2-A1G6-01A-11D-A13K-05.gdc_hg38.txt","798fa30c-cb7c-460c-8a24-b8ac05c152d0-beta-value","DNA Methylation","methylation_beta_value",141291240,"Illumina Human Methylation 450","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","ce713ae05d0627dbe71e8984846e41b7","d0a56ab2-7e09-42e8-a1f9-4745dfe4b186","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","ca612664-c103-4c39-8418-11c30791bfd5","released","798fa30c-cb7c-460c-8a24-b8ac05c152d0-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-A2-A1G6","TCGA.A2.A1G6.01A"
"c7839665-0270-4697-ac07-156fcc1aca07","TXT","open","TCGA-E2-A1B6-01A-31D-A12R-05","jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-E2-A1B6-01A-31D-A12R-05.gdc_hg38.txt","6813efd2-ff88-4bfb-9bb4-f676f3ae7186-beta-value","DNA Methylation","methylation_beta_value",141280945,"Illumina Human Methylation 450","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","c2716dece23a685d6d8e89b3aba8219d","c7839665-0270-4697-ac07-156fcc1aca07","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","e3664c42-289e-4e86-893c-38b2707ba6b0","released","6813efd2-ff88-4bfb-9bb4-f676f3ae7186-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-E2-A1B6","TCGA.E2.A1B6.01A"
"45f91fc0-d2de-4660-a39a-39b545859c0d","TXT","open","TCGA-AN-A0FF-01A-11D-A032-05","jhu-usc.edu_BRCA.HumanMethylation27.2.lvl-3.TCGA-AN-A0FF-01A-11D-A032-05.gdc_hg38.txt","6c97673b-7653-4ce9-80ea-a3490ed286d2-beta-value","DNA Methylation","methylation_beta_value",9950339,"Illumina Human Methylation 27","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","b19e878d43c8ef717da0dba2d346fbbc","45f91fc0-d2de-4660-a39a-39b545859c0d","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","68cbcb8d-25e9-45d6-93ac-dedb27045fa3","released","6c97673b-7653-4ce9-80ea-a3490ed286d2-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-AN-A0FF","TCGA.AN.A0FF.01A"
"db7b8d33-3f4e-4291-bee6-2373acee6256","TXT","open","TCGA-AN-A0AL-01A-11D-A00Y-05","jhu-usc.edu_BRCA.HumanMethylation27.1.lvl-3.TCGA-AN-A0AL-01A-11D-A00Y-05.gdc_hg38.txt","735de3f9-a44b-483e-9383-c7d86812f8d7-beta-value","DNA Methylation","methylation_beta_value",9954122,"Illumina Human Methylation 27","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","36aacf6d9f6c6f143d2ebe3d27429bcb","db7b8d33-3f4e-4291-bee6-2373acee6256","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","2de95804-8732-4837-bc1c-87a9b77a1af6","released","735de3f9-a44b-483e-9383-c7d86812f8d7-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-AN-A0AL","TCGA.AN.A0AL.01A"
"2eee1a8a-e7b1-481c-ac39-4d2c6c49183d","TXT","open","TCGA-E2-A14P-01A-31D-A12E-05","jhu-usc.edu_BRCA.HumanMethylation27.4.lvl-3.TCGA-E2-A14P-01A-31D-A12E-05.gdc_hg38.txt","acaeb806-80c8-48e3-9fc5-e4b8373474d9-beta-value","DNA Methylation","methylation_beta_value",9951084,"Illumina Human Methylation 27","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","d096827b8dd448bf3f80fcfb8e9ac31a","2eee1a8a-e7b1-481c-ac39-4d2c6c49183d","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","f2b3e0f6-22d6-4ed3-be1a-623d7147db14","released","acaeb806-80c8-48e3-9fc5-e4b8373474d9-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-E2-A14P","TCGA.E2.A14P.01A"
"0511daf2-0fd7-4031-a4a6-542c12865e95","TXT","open","TCGA-A8-A07F-01A-11D-A00Y-05","jhu-usc.edu_BRCA.HumanMethylation27.1.lvl-3.TCGA-A8-A07F-01A-11D-A00Y-05.gdc_hg38.txt","39e9a25f-931e-4dd0-bfda-76fd8121cef2-beta-value","DNA Methylation","methylation_beta_value",9951781,"Illumina Human Methylation 27","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","a944a97bcf0317a071ed8a01c60681e8","0511daf2-0fd7-4031-a4a6-542c12865e95","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","84619cdb-2286-41b0-80cb-9b0431e69ed6","released","39e9a25f-931e-4dd0-bfda-76fd8121cef2-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-A8-A07F","TCGA.A8.A07F.01A"
"53775997-0227-4706-a5d1-c77651ad0670","TXT","open","TCGA-A2-A0SU-01A-11D-A10P-05","jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-A2-A0SU-01A-11D-A10P-05.gdc_hg38.txt","5c4c7bf7-9269-48c8-87e2-e5d6fe63daa2-beta-value","DNA Methylation","methylation_beta_value",141284276,"Illumina Human Methylation 450","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","b5e5cdb626d8ed8a34563b53edd976a2","53775997-0227-4706-a5d1-c77651ad0670","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","cef9e7aa-15b0-459a-9685-e4bc39566811","released","5c4c7bf7-9269-48c8-87e2-e5d6fe63daa2-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-A2-A0SU","TCGA.A2.A0SU.01A"
"b1f10603-9299-452f-ab73-1ac1f782ff87","TXT","open","TCGA-AN-A0FL-01A-11D-A032-05","jhu-usc.edu_BRCA.HumanMethylation27.2.lvl-3.TCGA-AN-A0FL-01A-11D-A032-05.gdc_hg38.txt","0147eb13-5566-4774-a0e5-3d7a50e1dfb6-beta-value","DNA Methylation","methylation_beta_value",9954278,"Illumina Human Methylation 27","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","024983564ba66a15df43f31d67dc2fbb","b1f10603-9299-452f-ab73-1ac1f782ff87","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","5cd08c82-c7a2-42c5-9767-5d7cc5184ad5","released","0147eb13-5566-4774-a0e5-3d7a50e1dfb6-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-AN-A0FL","TCGA.AN.A0FL.01A"
"829f040c-49cb-4f7f-9c37-745ec6c9f3ac","TXT","open","TCGA-A2-A0T2-01A-11D-A10P-05","jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-A2-A0T2-01A-11D-A10P-05.gdc_hg38.txt","01a1b947-cd88-4304-9f69-4df4ab4db252-beta-value","DNA Methylation","methylation_beta_value",141290127,"Illumina Human Methylation 450","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","23fd2feb04eebb6ea4fc631fbfb34b02","829f040c-49cb-4f7f-9c37-745ec6c9f3ac","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","d365dbc5-88f2-4af9-b622-d73f4d4f4c66","released","01a1b947-cd88-4304-9f69-4df4ab4db252-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-A2-A0T2","TCGA.A2.A0T2.01A"
"7ed9c28e-4644-4657-9494-bfa49c8a4880","TXT","open","TCGA-A2-A1FZ-01A-51D-A14H-05","jhu-usc.edu_BRCA.HumanMethylation450.12.lvl-3.TCGA-A2-A1FZ-01A-51D-A14H-05.gdc_hg38.txt","ccd3cf21-17b2-4184-be12-00eda6568d53-beta-value","DNA Methylation","methylation_beta_value",141264049,"Illumina Human Methylation 450","2016-10-27T21:58:12.297090-05:00","2018-09-06T13:49:20.245333-05:00","8d462f2ea1bcf081dc62542cc2b36a25","7ed9c28e-4644-4657-9494-bfa49c8a4880","Methylation Beta Value","released","Methylation Array","1","12.0 - 30.0","TCGA-BRCA","2bdf9658-1b7c-41e5-94b0-615f0557f9cf","released","ccd3cf21-17b2-4184-be12-00eda6568d53-workflow","https://github.com/NCI-GDC/met-liftover-tool","Liftover","Primary Tumor",FALSE,"TCGA-A2-A1FZ","TCGA.A2.A1FZ.01A"
